Peru,Chile,{'weight': 4}
Peru,Canada,{'weight': 1}
Peru,Maldives,{'weight': 1}
Peru,Seychelles,{'weight': 1}
Peru,Italy,{'weight': 2}
Peru,India,{'weight': 4}
Peru,Latvia,{'weight': 1}
Peru,Russia,{'weight': 1}
Peru,United Kingdom,{'weight': 17}
Peru,Oman,{'weight': 3}
Peru,Argentina,{'weight': 4}
Peru,Mali,{'weight': 1}
Peru,Ireland,{'weight': 1}
Peru,Ecuador,{'weight': 1}
Peru,Asia,{'weight': 5}
Peru,Spain,{'weight': 13}
Peru,Africa,{'weight': 1}
Peru,Mexico,{'weight': 6}
Peru,Turkey,{'weight': 2}
Peru,United States,{'weight': 54}
Peru,Germany,{'weight': 1}
Peru,Uruguay,{'weight': 1}
Peru,Cuba,{'weight': 2}
Peru,Europe,{'weight': 17}
Peru,Philippines,{'weight': 1}
Peru,Colombia,{'weight': 2}
Peru,Armenia,{'weight': 1}
Peru,Brazil,{'weight': 3}
Peru,France,{'weight': 6}
Peru,China,{'weight': 2}
Peru,Bolivia,{'weight': 5}
Peru,South America,{'weight': 1}
United States,Suriname,{'weight': 1}
United States,Australia,{'weight': 47}
United States,Tanzania,{'weight': 1}
United States,Maldives,{'weight': 136}
United States,Jamaica,{'weight': 6}
United States,Seychelles,{'weight': 45}
United States,Cyprus,{'weight': 3}
United States,Sierra Leone,{'weight': 1}
United States,Portugal,{'weight': 26}
United States,Botswana,{'weight': 2}
United States,Tunisia,{'weight': 6}
United States,India,{'weight': 105}
United States,South Africa,{'weight': 6}
United States,Latvia,{'weight': 7}
United States,Russia,{'weight': 122}
United States,Denmark,{'weight': 21}
United States,United Kingdom,{'weight': 823}
United States,Ukraine,{'weight': 5}
United States,Argentina,{'weight': 24}
United States,Croatia,{'weight': 2}
United States,Egypt,{'weight': 15}
United States,Indonesia,{'weight': 11}
United States,Switzerland,{'weight': 11}
United States,Uganda,{'weight': 4}
United States,Georgia,{'weight': 21}
United States,Somalia,{'weight': 1}
United States,Africa,{'weight': 147}
United States,Mexico,{'weight': 44}
United States,Estonia,{'weight': 1}
United States,Sweden,{'weight': 87}
United States,Kazakhstan,{'weight': 1}
United States,Vietnam,{'weight': 4}
United States,South America,{'weight': 8}
United States,Slovenia,{'weight': 1}
United States,Kenya,{'weight': 2}
United States,Uruguay,{'weight': 7}
United States,South Korea,{'weight': 1}
United States,Mauritius,{'weight': 4}
United States,Bangladesh,{'weight': 1}
United States,Cuba,{'weight': 7}
United States,Netherlands,{'weight': 58}
United States,Zambia,{'weight': 1}
United States,Holy See,{'weight': 2}
United States,Greece,{'weight': 12}
United States,North America,{'weight': 37}
United States,Colombia,{'weight': 6}
United States,Armenia,{'weight': 1}
United States,Niger,{'weight': 10}
United States,Serbia,{'weight': 1}
United States,Chad,{'weight': 2}
United States,Iran,{'weight': 3}
United States,France,{'weight': 321}
United States,Romania,{'weight': 3}
United States,China,{'weight': 85}
United States,North Korea,{'weight': 2}
United States,Bolivia,{'weight': 6}
United States,Costa Rica,{'weight': 2}
United States,Belarus,{'weight': 2}
United States,Chile,{'weight': 17}
United States,Thailand,{'weight': 1}
United States,Canada,{'weight': 80}
United States,Algeria,{'weight': 2}
United States,State of Palestine,{'weight': 2}
United States,Hungary,{'weight': 9}
United States,Barbados,{'weight': 2}
United States,Benin,{'weight': 2}
United States,Belgium,{'weight': 31}
United States,Italy,{'weight': 114}
United States,Mozambique,{'weight': 2}
United States,Nepal,{'weight': 1}
United States,Malaysia,{'weight': 1}
United States,Singapore,{'weight': 1}
United States,Nigeria,{'weight': 10}
United States,Zimbabwe,{'weight': 1}
United States,Norway,{'weight': 20}
United States,Gambia,{'weight': 1}
United States,Poland,{'weight': 19}
United States,Austria,{'weight': 23}
United States,Oman,{'weight': 68}
United States,Jordan,{'weight': 1}
United States,Albania,{'weight': 1}
United States,Mali,{'weight': 20}
United States,Pakistan,{'weight': 2}
United States,Honduras,{'weight': 1}
United States,Haiti,{'weight': 1}
United States,Ireland,{'weight': 69}
United States,Ecuador,{'weight': 7}
United States,Asia,{'weight': 67}
United States,Spain,{'weight': 134}
United States,Iraq,{'weight': 4}
United States,Israel,{'weight': 6}
United States,Czech Republic (Czechia),{'weight': 4}
United States,Nicaragua,{'weight': 1}
United States,Finland,{'weight': 12}
United States,Liberia,{'weight': 3}
United States,Malta,{'weight': 1}
United States,Ghana,{'weight': 5}
United States,Turkey,{'weight': 8}
United States,Cambodia,{'weight': 1}
United States,Germany,{'weight': 181}
United States,Guinea,{'weight': 2}
United States,Congo,{'weight': 2}
United States,Syria,{'weight': 4}
United States,Europe,{'weight': 489}
United States,Ethiopia,{'weight': 4}
United States,Lithuania,{'weight': 3}
United States,DR Congo,{'weight': 1}
United States,Azerbaijan,{'weight': 1}
United States,Philippines,{'weight': 7}
United States,New Zealand,{'weight': 13}
United States,Burkina Faso,{'weight': 1}
United States,Japan,{'weight': 82}
United States,Brazil,{'weight': 21}
United States,Slovakia,{'weight': 2}
United States,Iceland,{'weight': 2}
United States,Bulgaria,{'weight': 3}
United States,Central African Republic,{'weight': 1}
Asia,Australia,{'weight': 1}
Asia,Chile,{'weight': 2}
Asia,Thailand,{'weight': 1}
Asia,Canada,{'weight': 1}
Asia,Maldives,{'weight': 2}
Asia,Benin,{'weight': 1}
Asia,Italy,{'weight': 1}
Asia,Nepal,{'weight': 1}
Asia,Nigeria,{'weight': 3}
Asia,India,{'weight': 19}
Asia,Russia,{'weight': 1}
Asia,Poland,{'weight': 1}
Asia,United Kingdom,{'weight': 22}
Asia,Oman,{'weight': 1}
Asia,Argentina,{'weight': 2}
Asia,Pakistan,{'weight': 1}
Asia,Ecuador,{'weight': 1}
Asia,Indonesia,{'weight': 4}
Asia,Spain,{'weight': 2}
Asia,Finland,{'weight': 1}
Asia,Africa,{'weight': 16}
Asia,Mexico,{'weight': 3}
Asia,Ghana,{'weight': 2}
Asia,Turkey,{'weight': 1}
Asia,Vietnam,{'weight': 2}
Asia,Bangladesh,{'weight': 1}
Asia,Kenya,{'weight': 2}
Asia,Europe,{'weight': 39}
Asia,Netherlands,{'weight': 2}
Asia,Greece,{'weight': 1}
Asia,Philippines,{'weight': 3}
Asia,Japan,{'weight': 17}
Asia,Colombia,{'weight': 1}
Asia,North America,{'weight': 1}
Asia,New Zealand,{'weight': 1}
Asia,Niger,{'weight': 3}
Asia,Brazil,{'weight': 1}
Asia,France,{'weight': 7}
Asia,China,{'weight': 25}
Asia,Bolivia,{'weight': 1}
Asia,South America,{'weight': 1}
Germany,Australia,{'weight': 2}
Germany,Chile,{'weight': 1}
Germany,Canada,{'weight': 4}
Germany,Maldives,{'weight': 3}
Germany,Seychelles,{'weight': 1}
Germany,Hungary,{'weight': 2}
Germany,Belgium,{'weight': 5}
Germany,Italy,{'weight': 14}
Germany,Portugal,{'weight': 2}
Germany,India,{'weight': 1}
Germany,Norway,{'weight': 3}
Germany,Latvia,{'weight': 2}
Germany,Russia,{'weight': 16}
Germany,Denmark,{'weight': 1}
Germany,Poland,{'weight': 5}
Germany,United Kingdom,{'weight': 44}
Germany,Ukraine,{'weight': 1}
Germany,Austria,{'weight': 9}
Germany,Oman,{'weight': 4}
Germany,Argentina,{'weight': 1}
Germany,Mali,{'weight': 2}
